message,class
ก.ล.ต. รายงาน “เซ็นทรัลเวิลด์” เข้า ซื้อ หุ้น SF เพิ่ม สัดส่วน เป็น 74.60 %,No
"หุ้น ไทย ปิด ตลาด วันนี้ (11 ต.ค.) -5.97 จุด ดัชนีอยู่ที่ 1,633 จุด",No
กสิกรไทย เตือน เป็น หนี้ ไม่รู้ตัว เจอ มิจฉาชีพ ลวง กู้เงิน ออนไลน์,No
ราคา ทองคำ วันศุกร์ ที่ ผ่าน มา ปิด  ทรงตัว แทบ ไม่ เปลี่ยนแปลง ท่ามกลาง การ ซื้อขาย ที่ ผันผวน ทั้งขึ้น แรง และ ลงแรง,No
ธนาคาร แห่ง ประเทศไทย (ธปท.) เตรียม ปรับ โครงการ “รวมหนี้” (debt consolidation) ให้ สามารถ ทำ “ข้ามธนาคาร” ระหว่าง สินเชื่อ ที่ มี หลัก ประกัน และ ไม่มี หลัก ประกัน ได้ ใน เดือน ต.ค.นี้,No
ราคา น้ำมันดิบ ปรับ เพิ่ม หลัง ตลาด กังวล วิกฤต พลังงาน ขาดแคลน จะ ส่งผล ให้ ความต้องการ ใช้ น้ำมัน เพิ่มขึ้น ต่อเนื่อง,No
ตลาด สินทรัพย์ดิจิทัล สัปดาห์ ที่ ผ่านมา มี มูลค่า ทั่วโลก อยู่ ที่ 2.14 ล้าน ล้าน ดอลลาร์ ซื้อขาย ต่อ วัน เหลือ 102.91 พัน ล้าน ดอลลาร์ เพิ่มขึ้น จาก สัปดาห์ ก่อน ที่ 96.98 พันล้านดอลาร์,No
กรุงไทย เพิ่ม ทางเลือก การลงทุน จับมือ MTS Gold แม่ทองสุก เปิด ซื้อขาย ทองคำ ออนไลน์ ครบวงจร บน แอปฯ เป๋าตัง ฟรี ค่าธรรมเนียม อิง ราคา ตาม ตลาดโลก ซื้อ ขาย เงิน เป็น ดอลลาร์สหรัฐฯ แบบ เรียลไทม์,No
เงิน บาท ปรับตัว แข็งค่า หลัง ตัวเลข การจ้างงาน สหรัฐ ต่ำกว่า คาดการณ์,No
ประกันชีวิต เบี้ย รวม 8 เดือน แรก 3.8 แสน ล้าน เพิ่มขึ้น 2.36 %,No
